,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
8803,21,33,28,3578,3631,3709,8,4,3,7186,6976,6976,386,339,233,1148,1148,640,2862,2987,2987
8834,35,29,35,3679,3581,3658,14,4,1,7122,6795,6795,401,340,219,1198,1198,655,2790,2907,2907
8865,33,31,30,3671,3625,3703,12,3,3,7142,6949,6949,388,353,239,1181,1181,648,2778,2922,2922
8896,28,28,36,3679,3509,3673,11,5,3,6961,6843,6843,373,332,221,1170,1170,629,2739,2957,2957
8927,30,33,33,3617,3539,3688,9,5,5,7135,6832,6832,401,319,227,1180,1180,625,2786,2939,2939
8958,28,33,37,3636,3555,3727,15,4,3,7144,6760,6760,393,311,224,1156,1156,642,2739,2925,2925
8989,37,33,33,3575,3550,3737,9,5,7,7109,6933,6933,405,333,232,1166,1166,642,2752,2902,2902
9020,29,32,36,3646,3505,3804,12,5,7,7056,7050,7050,371,321,242,1184,1184,627,2817,2900,2900
9051,39,26,33,3670,3567,3704,13,3,3,7171,6838,6838,347,333,239,1146,1146,623,2824,2915,2915
9082,35,39,26,3782,3535,3645,8,7,7,7008,6897,6897,388,327,227,1218,1218,637,2745,2955,2955
9113,36,35,31,3636,3597,3746,9,5,5,7230,6862,6862,390,298,251,1191,1191,602,2728,2943,2943
9144,33,36,31,3614,3588,3727,11,6,5,7012,6923,6923,382,318,245,1134,1134,623,2853,2894,2894
9175,33,31,39,3566,3539,3711,13,5,6,7092,6969,6969,397,363,253,1173,1173,635,2810,2824,2824
9206,34,31,39,3665,3490,3757,14,3,1,7065,6759,6759,367,318,213,1117,1117,600,2822,2904,2904
9237,34,29,40,3662,3541,3689,16,3,6,7200,6705,6705,390,328,219,1191,1191,650,2775,2923,2923
9268,27,24,29,3637,3492,3694,9,5,3,7077,6848,6848,365,323,215,1163,1163,603,2775,2964,2964
9299,31,26,33,3666,3531,3689,15,5,7,7163,6858,6858,391,318,219,1126,1126,636,2748,2929,2929
9330,35,31,34,3657,3497,3689,13,1,3,7097,6890,6890,363,330,220,1131,1131,614,2756,2931,2931
9361,37,20,37,3609,3498,3558,10,2,5,7130,6760,6760,341,326,240,1084,1084,613,2722,2942,2942
9392,39,35,24,3717,3594,3736,11,3,5,7058,6876,6876,399,291,219,1077,1077,608,2724,2831,2831
9423,29,28,37,3639,3573,3692,12,5,4,6965,6745,6745,388,331,221,1107,1107,595,2716,2876,2876
9454,31,32,33,3744,3596,3649,14,7,5,7058,6852,6852,383,329,230,1091,1091,588,2760,2881,2881
9485,29,33,29,3645,3467,3675,14,1,1,7051,6780,6780,397,305,239,1048,1048,591,2678,2922,2922
9516,36,27,37,3562,3465,3723,12,3,8,7054,6727,6727,346,363,213,1127,1127,613,2749,2839,2839
9547,31,28,42,3647,3507,3639,15,3,3,7028,6948,6948,371,338,218,1086,1086,582,2726,2872,2872
9578,39,26,32,3685,3502,3702,9,2,5,7035,7096,7096,348,325,230,1069,1069,587,2726,2883,2883
9609,36,32,26,3610,3468,3660,12,2,3,7001,6736,6736,354,344,229,1049,1049,608,2762,2864,2864
9640,33,33,39,3611,3420,3632,16,5,6,7135,7000,7000,346,317,214,1095,1095,579,2716,2901,2901
9671,28,28,32,3559,3460,3659,7,3,4,6891,6687,6687,359,316,241,1088,1088,585,2654,2860,2860
9702,33,26,37,3630,3499,3688,13,3,1,7054,6888,6888,351,336,227,1076,1076,588,2756,2893,2893
9733,29,27,30,3583,3546,3746,12,1,3,7030,6942,6942,375,324,232,1068,1068,556,2720,2989,2989
9764,26,24,33,3634,3495,3656,8,4,4,7109,6796,6796,360,335,218,1060,1060,587,2672,2847,2847
9795,33,26,27,3667,3451,3694,9,5,2,7070,6765,6765,386,297,244,1042,1042,589,2725,2824,2824
9826,33,34,45,3551,3507,3661,18,3,5,7130,6876,6876,359,328,236,1044,1044,595,2716,2834,2834
9857,32,37,31,3602,3427,3639,13,3,3,7126,6906,6906,366,306,242,1071,1071,612,2678,2807,2807
9888,27,35,31,3598,3480,3611,10,4,4,6967,6820,6820,373,326,220,1061,1061,544,2679,2871,2871
9919,33,34,33,3540,3423,3694,16,3,7,6974,6766,6766,381,311,249,1052,1052,560,2728,2838,2838
9950,33,29,31,3583,3514,3651,10,3,1,7050,6802,6802,356,335,204,1029,1029,593,2688,2785,2785
9981,33,37,35,3608,3534,3681,12,1,3,7008,6790,6790,341,306,225,1040,1040,562,2796,2814,2814
10012,33,22,35,3559,3518,3651,14,5,3,7001,6801,6801,373,323,232,983,983,589,2760,2864,2864
10043,37,20,31,3600,3442,3560,10,3,5,7085,6668,6668,373,310,239,1065,1065,540,2683,2806,2806
10074,28,30,31,3660,3480,3666,10,3,5,6905,6843,6843,339,306,223,1004,1004,554,2753,2789,2789
10105,24,27,22,3555,3522,3644,14,4,5,6963,6769,6769,352,297,239,1076,1076,585,2745,2869,2869
10136,30,24,31,3610,3425,3600,19,1,3,7050,6821,6821,350,322,218,955,955,576,2710,2790,2790
10167,23,28,30,3609,3426,3651,15,4,6,6957,6866,6866,363,313,217,1040,1040,545,2671,2828,2828
10198,22,21,31,3520,3458,3630,6,3,4,7012,6773,6773,344,308,215,1013,1013,562,2765,2811,2811
10229,36,22,27,3619,3507,3655,14,4,2,7039,6906,6906,325,317,248,1002,1002,550,2684,2823,2823
10260,34,26,37,3544,3465,3586,13,4,6,7008,6815,6815,351,317,210,965,965,530,2784,2783,2783
10291,29,32,33,3577,3437,3700,10,4,1,7020,6895,6895,333,305,191,957,957,517,2688,2755,2755
10322,26,20,24,3664,3401,3696,10,5,3,7032,6760,6760,359,299,213,979,979,537,2648,2767,2767
