,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
1673,3126,3150,3095,13370,13349,12308,433,421,476,752,746,792,36956,35846,35075,31686,29786,28183,38424,36529,35197
1704,3260,3122,3115,13492,13530,12581,458,424,454,767,706,748,37602,36500,35520,31889,29746,28533,38899,37253,35668
1735,3258,3029,3132,13721,13858,12770,421,401,403,757,792,771,38253,37017,35858,31607,29644,28163,39376,37631,36360
1766,3365,3153,3200,13947,13870,13045,462,450,453,767,729,842,38543,37151,36704,31908,30217,28618,40052,38466,36858
1797,3424,3278,3253,13925,14124,13233,473,441,458,792,748,832,39013,37887,36830,31965,30167,28516,40518,38801,37382
1828,3357,3292,3334,14314,14268,13277,488,463,505,813,788,805,39745,38352,37174,31955,30017,28214,41219,39588,37769
1859,3448,3351,3327,14249,14481,13470,488,443,465,864,774,843,40229,38910,38091,31789,29946,28769,41767,40148,38293
1890,3433,3346,3343,14504,14886,13830,443,439,444,792,792,826,40588,39252,38440,31908,30039,28528,42138,40462,38833
1921,3482,3336,3336,14785,14883,13902,494,483,464,848,811,847,41248,40010,38937,31839,30189,28545,42478,40959,39293
1952,3564,3363,3423,15029,14953,14011,526,437,488,858,820,835,41953,40241,39517,32032,30351,28432,43200,41968,39989
1983,3575,3478,3556,15104,15361,14217,490,485,481,879,845,864,42120,41001,40011,31840,30068,28968,43657,42030,40409
2014,3668,3480,3421,15303,15477,14620,483,470,498,862,849,886,43042,41645,40481,32316,30176,28706,44445,42324,40859
2045,3709,3534,3624,15596,15654,14589,501,466,524,860,851,902,43274,41778,41136,32166,30133,28506,44864,43209,41379
2076,3749,3575,3592,15737,15757,14779,539,452,497,900,810,913,44032,42363,41409,31950,29989,28616,45389,43342,41697
2107,3647,3581,3683,15832,15997,15156,543,501,513,902,914,887,44336,42829,41870,31951,30005,28717,45939,44187,42249
2138,3774,3577,3736,16054,16092,14980,545,521,543,889,904,911,44733,43265,42311,31794,29797,28561,46670,44667,42409
2169,3811,3643,3781,16508,16359,15297,532,485,541,936,905,931,45440,43637,42474,32060,30002,28519,46917,45467,43391
2200,3826,3659,3759,16265,16571,15578,571,543,521,907,883,959,45641,44038,43237,32120,30031,28480,47082,45564,44035
2231,3819,3725,3706,16479,16727,15673,543,526,521,916,860,921,46223,44458,43527,31980,29926,28498,48173,45717,44296
2262,3938,3714,3831,16867,16795,15692,580,496,539,953,918,955,46504,45150,44183,31877,29893,28634,48306,46702,44551
2293,4034,3794,3880,17074,17140,15870,587,545,557,946,873,968,47148,45156,44615,31928,30034,28761,48934,46880,44893
