,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
4091,344,342,414,1177,1112,1348,98,93,71,41,49,38,344,521,472,49023,46787,49261,931,634,710
4122,337,392,405,1194,1149,1388,99,112,82,43,36,48,346,553,477,49406,46949,49151,898,655,699
4153,327,374,426,1215,1107,1366,124,99,80,53,50,39,330,506,489,49511,47180,49416,920,678,714
4184,342,372,390,1154,1097,1418,120,90,77,42,31,43,344,500,444,49840,46789,49741,911,625,727
4215,357,350,431,1237,1115,1370,105,105,77,35,49,43,316,520,452,49731,47167,49862,958,648,704
4246,320,341,424,1229,1133,1409,105,81,82,48,57,35,316,541,435,50061,47285,50308,907,677,670
4277,346,372,414,1182,1175,1357,105,85,69,48,42,43,358,516,458,50031,47849,50264,920,676,689
4308,346,350,393,1203,1145,1364,107,96,77,37,36,35,355,541,449,50106,47544,50134,947,682,748
4339,335,346,399,1234,1199,1369,94,86,86,45,39,43,356,545,456,50485,47528,50493,956,685,734
4370,350,379,410,1162,1178,1368,121,92,65,51,50,56,320,539,450,50487,48165,50632,937,656,672
4401,348,391,424,1201,1162,1384,112,89,73,43,48,47,361,540,499,50488,48372,50417,956,691,717
4432,363,378,411,1236,1182,1432,114,93,73,44,48,47,351,571,486,50754,48408,50849,966,654,703
4463,340,380,433,1273,1157,1435,110,96,79,55,41,45,314,534,481,51224,48688,50852,939,685,729
4494,347,369,394,1243,1182,1446,100,81,80,43,40,43,323,555,492,51142,48662,51406,898,653,737
4525,364,381,388,1248,1119,1479,97,87,92,44,44,50,346,553,469,51365,48827,51462,948,686,707
4556,349,377,380,1241,1190,1323,103,96,75,45,41,45,343,559,468,51172,48833,51306,966,680,742
4587,362,380,419,1193,1186,1473,113,98,67,43,43,50,364,524,450,51605,49143,51587,974,667,752
4618,375,366,424,1234,1179,1393,121,92,61,38,37,48,373,547,527,51681,49199,51599,993,689,749
4649,330,380,443,1217,1195,1457,114,96,72,45,44,37,346,558,496,51669,49308,51571,989,644,753
4680,376,377,406,1275,1212,1405,117,79,71,39,39,44,333,563,508,52032,49472,51749,968,691,745
4711,409,377,424,1308,1204,1486,98,92,78,48,41,38,371,566,495,51901,49186,51819,971,688,777
4742,366,370,427,1250,1196,1403,119,88,55,45,43,45,366,574,495,52274,49988,52287,960,683,760
4773,348,401,454,1246,1201,1454,115,120,79,48,45,51,347,554,479,52164,49974,52085,962,693,752
4804,374,384,430,1234,1247,1427,105,91,70,45,46,47,384,524,508,52300,49912,52541,1012,707,747
4835,346,375,432,1222,1264,1423,104,100,78,52,41,45,363,568,512,52485,50294,52657,1024,710,786
4866,355,356,425,1317,1207,1432,115,95,69,39,39,52,356,564,538,52780,50380,52509,997,728,739
4897,334,356,443,1243,1263,1450,125,106,77,47,32,47,360,607,483,52866,50136,52800,1001,709,796
4928,350,371,404,1298,1279,1445,124,107,83,49,41,46,361,564,505,52922,50340,52887,1038,714,769
4959,397,344,425,1272,1223,1421,115,103,93,51,43,45,374,543,496,53115,50860,52878,1038,677,814
4990,363,383,433,1254,1247,1494,108,86,67,44,49,42,383,575,494,53279,50793,52937,975,711,741
5021,369,384,454,1278,1174,1523,122,100,84,43,40,44,337,541,530,53465,50376,53623,972,634,788
5052,358,388,428,1303,1234,1512,115,98,85,50,40,41,360,585,518,53642,50672,53347,1063,722,790
5083,340,372,429,1237,1240,1511,126,100,90,43,49,56,350,591,527,53990,51169,53157,1008,735,765
5114,338,381,455,1270,1209,1526,113,101,77,44,46,47,376,608,531,53386,51004,53632,1008,662,771
5145,356,404,424,1255,1248,1441,108,105,75,52,39,52,361,589,529,53731,51247,53871,1041,750,771
5176,362,377,429,1272,1278,1539,111,94,86,52,41,49,369,598,507,54042,51015,53974,1048,721,769
5207,361,381,443,1351,1243,1480,130,93,73,59,51,48,390,604,493,54044,51146,53540,1008,725,733
5238,346,375,426,1219,1275,1477,100,92,65,33,48,42,367,627,513,54067,51528,54042,1040,758,769
5269,346,389,450,1356,1291,1544,105,103,72,49,45,44,375,593,506,54197,51519,54146,1026,699,788
5300,356,361,431,1332,1256,1522,104,95,89,50,43,56,375,620,512,54219,51807,54180,1031,701,802
5331,364,379,400,1301,1253,1492,115,111,75,41,38,58,343,575,518,54133,51822,54793,993,763,807
5362,369,373,442,1338,1247,1490,107,93,94,45,40,42,376,604,530,54194,51863,54361,1035,717,757
5393,355,375,445,1351,1185,1504,117,99,78,52,41,43,370,626,515,54489,52198,54432,1050,740,754
5424,326,372,415,1334,1301,1524,126,118,84,48,45,41,368,583,500,54499,52017,54905,1024,758,780
5455,350,384,475,1320,1270,1522,126,107,77,38,45,43,383,581,530,54675,52011,55058,1035,752,802
5486,370,402,442,1350,1268,1502,115,126,72,57,30,41,377,587,517,54657,52273,55201,1000,754,773
5517,354,375,440,1289,1293,1512,117,102,96,44,38,55,380,583,504,55148,52060,55032,1050,755,770
5548,386,382,419,1361,1297,1583,101,102,94,52,39,55,361,579,495,54664,52795,54844,1042,711,838
5579,375,401,444,1373,1321,1554,128,111,74,52,37,41,388,598,539,55081,52458,55199,1046,717,803
5610,361,391,430,1368,1330,1615,128,108,81,53,32,48,395,613,522,55392,52673,55144,1025,724,780
5641,367,392,449,1423,1298,1547,120,98,102,54,42,49,375,618,501,55232,52738,55363,1105,739,816
5672,373,415,463,1336,1310,1545,113,92,78,47,50,53,398,595,517,55323,52757,55582,1048,769,794
5703,364,348,443,1380,1239,1569,111,98,83,46,38,50,406,567,545,55475,52676,55402,1082,757,797
5734,375,362,475,1357,1286,1549,115,107,88,50,51,46,394,600,529,55420,53019,55452,1066,693,837
5765,358,396,452,1404,1269,1604,105,96,93,43,35,52,405,608,487,55651,53018,56078,1041,735,812
5796,356,361,450,1394,1277,1611,113,106,75,41,39,50,361,606,516,55612,53306,56069,1021,794,805
5827,335,387,461,1370,1304,1553,107,100,80,56,41,43,401,653,521,55745,53261,55761,1067,765,819
5858,360,382,405,1370,1316,1550,120,103,83,43,48,52,405,640,547,55651,53137,56229,978,742,849
5889,379,393,407,1337,1317,1563,128,103,96,51,48,48,400,618,544,55705,53447,56235,1099,773,802
5920,356,367,443,1379,1314,1590,104,102,83,39,37,52,367,612,541,56336,53325,56251,1041,796,822
5951,367,376,439,1426,1327,1601,118,107,88,42,43,39,370,625,534,56202,53568,56095,1050,780,839
5982,362,365,421,1385,1311,1518,105,115,81,35,45,43,407,606,558,56625,53592,56247,1078,763,862
6013,371,384,437,1380,1306,1518,109,96,83,48,41,41,380,674,532,56051,53462,56267,1097,782,866
6044,390,407,423,1395,1393,1532,120,102,86,51,42,47,378,620,530,56209,53696,55975,1042,726,837
6075,367,388,420,1363,1343,1608,121,107,85,48,35,56,421,621,548,56592,53661,56615,1063,765,796
6106,356,401,478,1421,1335,1610,130,102,77,40,42,37,378,627,579,56360,53689,56348,1088,783,847
