,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
1859,625,567,540,7912,7558,7265,1788,1766,1782,217,207,209,64,73,86,1492,1323,1349,10075,10057,7912
1890,659,604,593,8203,7758,7330,1820,1723,1785,205,207,184,71,79,69,1550,1369,1328,10180,10235,8073
1921,653,614,592,8416,7742,7264,1892,1801,1808,209,193,189,73,58,81,1598,1381,1350,10453,10353,7975
1952,641,625,547,8476,7918,7431,1844,1800,1774,204,190,188,77,73,73,1573,1403,1406,10489,10487,8119
1983,663,636,615,8581,8043,7378,1848,1774,1770,218,192,194,69,75,78,1633,1390,1408,10623,10685,8296
2014,665,588,591,8759,8179,7646,1884,1913,1862,185,218,208,83,75,53,1668,1446,1426,10744,10720,8431
2045,674,634,599,8849,8207,7720,1934,1896,1888,221,219,204,86,88,83,1644,1415,1480,10905,10948,8506
2076,697,639,610,8863,8334,7848,1970,1960,1890,234,225,202,79,96,77,1706,1505,1461,11136,10969,8533
2107,678,627,614,9053,8308,8075,2022,1915,1924,241,204,187,86,73,67,1768,1535,1486,11174,11112,8750
2138,660,659,608,9084,8514,7997,1992,1958,1836,227,217,199,80,79,69,1698,1501,1418,11375,11240,8789
2169,690,680,633,9143,8588,8184,1998,1983,2007,229,199,221,71,73,79,1737,1542,1493,11293,11473,8952
2200,704,682,646,9316,8647,8327,2100,1990,1986,206,213,217,87,61,73,1760,1516,1531,11706,11554,8933
2231,699,655,640,9346,8777,8219,2092,2081,1994,229,255,216,77,75,79,1814,1535,1503,11767,11691,9027
2262,710,657,630,9438,8840,8315,2089,2035,1972,240,216,175,86,58,77,1846,1598,1464,11856,11900,8974
2293,728,662,676,9483,8914,8550,2067,2086,1984,225,227,214,76,90,75,1810,1628,1551,11799,11937,9191
2324,737,715,657,9703,9082,8474,2115,2079,2015,227,245,221,86,73,81,1817,1615,1641,12081,12224,9330
2355,693,693,633,9629,9068,8586,2125,2083,2092,240,250,220,81,62,77,1843,1641,1519,12188,12144,9331
2386,730,705,677,9744,9288,8664,2179,2074,2111,256,235,210,90,68,71,1810,1670,1632,12341,12469,9431
2417,767,731,648,9840,9222,8770,2159,2156,2125,236,217,204,80,75,75,1887,1694,1623,12258,12374,9603
2448,764,735,645,10023,9264,8800,2214,2178,2034,232,206,221,86,73,74,1941,1676,1611,12424,12606,9722
2479,729,703,696,10027,9474,8868,2246,2170,2143,257,210,224,83,78,75,1950,1689,1621,12537,12794,9800
2510,799,725,681,10342,9539,8972,2241,2113,2150,238,242,232,84,85,92,1941,1725,1666,12649,12823,9938
2541,750,691,662,10232,9656,9037,2245,2175,2159,234,232,234,87,89,75,1996,1762,1675,12743,12801,10024
2572,775,720,675,10389,9682,9183,2286,2246,2195,269,227,230,72,89,94,2015,1675,1691,12898,13008,9854
2603,799,724,699,10520,9734,9226,2333,2259,2145,247,244,222,79,70,92,1990,1719,1660,13157,13205,10237
2634,779,735,740,10607,9983,9374,2326,2364,2210,251,230,210,91,86,81,2041,1779,1740,13033,13186,10228
2665,790,729,705,10638,10032,9422,2365,2260,2252,261,238,215,95,82,89,1996,1787,1774,13244,13418,10230
2696,823,747,710,10782,10076,9660,2401,2282,2248,243,239,222,98,81,94,2047,1818,1735,13180,13624,10313
2727,809,728,703,10959,10144,9486,2362,2340,2270,246,250,229,90,86,67,2034,1860,1779,13488,13755,10644
2758,782,771,718,10824,10119,9477,2349,2335,2347,246,253,218,89,79,91,2110,1852,1795,13579,13718,10568
2789,813,767,716,11025,10604,9698,2473,2328,2325,258,266,225,87,85,80,2175,1816,1821,13672,13878,10629
2820,815,768,710,10872,10429,9701,2342,2383,2300,257,239,233,85,71,92,2129,1843,1811,13767,13942,10743
2851,805,811,693,10975,10464,9851,2458,2445,2350,246,263,251,88,76,90,2172,1859,1850,13929,13928,10803
2882,830,761,753,11120,10417,9836,2471,2337,2344,285,222,229,111,83,98,2121,1888,1861,14166,14285,10892
2913,824,787,735,11240,10664,10010,2487,2437,2405,256,238,246,86,86,82,2207,1897,1782,13996,14460,10954
2944,830,797,744,11479,10728,10033,2496,2428,2347,251,269,259,101,84,106,2208,1914,1897,14063,14473,11172
2975,807,768,757,11364,10604,10089,2468,2526,2401,261,246,253,88,89,84,2117,1867,1804,14306,14558,11150
3006,832,793,740,11666,10732,10171,2562,2472,2406,267,276,237,96,76,92,2225,1916,1833,14271,14732,11147
3037,824,802,741,11545,10911,10333,2532,2593,2364,266,268,243,84,84,91,2214,1931,1880,14481,14759,11240
3068,863,811,781,11623,11043,10358,2517,2423,2484,282,257,234,90,102,100,2204,1951,1879,14418,14979,11321
3099,885,795,786,11706,11002,10485,2548,2526,2446,278,251,243,96,97,89,2231,1889,1913,14664,15093,11489
3130,877,789,737,11683,11092,10485,2619,2553,2517,294,258,244,86,79,79,2286,1967,1935,14695,15029,11428
3161,894,808,788,11822,11139,10588,2639,2555,2515,259,257,263,90,79,86,2265,1981,1933,14764,15236,11585
3192,849,807,771,12116,11286,10644,2665,2616,2478,267,274,234,105,87,84,2379,1992,1940,14955,15251,11831
3223,914,822,801,12052,11530,10684,2639,2582,2450,291,267,244,99,73,102,2280,1946,1918,14879,15356,11798
3254,873,866,782,12091,11317,10790,2709,2623,2462,275,264,258,94,92,89,2320,1991,1977,14981,15552,11820
3285,832,817,784,12261,11685,10823,2739,2692,2487,296,251,257,96,83,98,2419,2026,2004,15140,15538,11907
