,A1,A2,A3,A7,A8,A9,A4,A5,A6,A10,A11,A12,B1,B2,B3,B4,B5,B6,B7,B8,B9
1952,233,220,554,130694,128386,125622,349,113,106,39,29,42,120,143,171,625,676,640,2864,3471,4464
1983,213,200,572,131355,129807,126925,316,117,109,38,35,45,128,160,177,660,684,601,2950,3489,4496
2014,241,230,570,133367,131257,128865,359,112,96,33,36,32,156,128,183,659,682,638,2991,3679,4631
2045,206,234,562,135256,133024,130117,348,105,113,41,35,32,134,146,177,680,670,593,3042,3672,4674
2076,227,226,595,136567,134591,131681,337,126,113,48,34,37,139,133,182,670,735,695,3093,3819,4686
2107,221,230,585,138311,136748,132773,373,114,102,37,33,29,139,132,172,684,726,676,3026,3789,4728
2138,217,219,603,139550,138079,134703,367,120,114,30,33,33,120,127,206,711,695,655,3044,3881,4746
2169,213,227,557,141133,138904,136590,392,116,115,42,41,34,139,158,185,676,679,661,3167,3923,4932
2200,237,233,604,143296,140924,137404,398,130,108,35,24,37,146,128,192,730,682,675,3129,3987,4884
2231,198,223,532,143856,141186,139700,348,124,103,28,42,32,134,138,198,691,746,671,3287,3963,4970
2262,211,210,600,145672,143348,140353,393,115,108,25,31,33,182,132,193,724,769,705,3145,3962,4965
2293,201,225,608,146965,144697,141905,335,125,109,39,29,36,135,146,187,713,756,717,3228,4026,5110
2324,231,222,572,148791,146421,144010,370,125,106,37,35,33,146,160,207,730,785,680,3242,4007,4942
2355,252,236,610,149725,147539,144353,387,128,131,34,35,22,170,162,196,739,756,676,3368,3985,5121
2386,218,232,616,151198,149025,145686,365,123,122,40,31,31,151,136,185,725,753,733,3315,4014,5184
2417,232,226,625,152550,150326,147909,371,134,108,50,33,44,154,159,193,702,746,758,3349,4123,5276
2448,215,206,628,153966,151654,148687,403,121,126,43,30,36,151,153,194,702,768,764,3409,4348,5370
2479,238,216,616,155388,153483,150208,433,134,117,41,34,31,158,159,190,754,786,712,3501,4164,5250
2510,217,236,627,156698,154046,151363,399,139,125,35,34,45,144,155,195,765,769,736,3453,4248,5412
2541,213,227,646,158567,156380,152573,423,130,109,34,45,32,138,153,192,771,810,748,3527,4297,5334
2572,237,223,625,159168,156717,153806,392,128,118,29,45,36,175,132,187,763,849,793,3482,4330,5453
2603,225,217,595,160577,158660,154852,435,131,139,32,31,37,162,167,194,729,787,764,3568,4367,5550
2634,227,215,640,161583,160568,156576,399,125,124,32,45,41,168,157,196,801,805,774,3619,4375,5578
2665,229,239,669,163640,160818,157702,399,139,122,43,40,43,170,153,202,818,809,750,3573,4456,5654
2696,212,221,623,164780,162293,158871,419,146,120,41,35,40,153,177,216,771,824,759,3664,4510,5633
2727,232,243,641,166117,163859,160107,427,131,132,35,37,39,151,164,186,754,841,775,3662,4533,5652
2758,214,242,657,167666,164581,160804,435,136,108,28,39,35,151,158,208,816,837,822,3728,4556,5781
2789,238,234,691,168870,166649,162642,427,135,123,38,31,41,159,164,220,792,862,775,3698,4642,5708
2820,222,238,629,169476,166648,163450,426,136,149,31,42,50,151,128,204,773,894,790,3819,4547,5809
2851,214,232,653,170990,168393,164874,429,153,145,35,41,41,162,176,217,811,853,802,3781,4653,5844
2882,256,239,657,172271,169512,165854,412,140,140,37,48,41,159,165,217,771,828,794,3836,4714,5975
2913,249,225,693,173216,170729,167435,440,154,130,39,36,34,150,164,202,856,854,812,3901,4822,5868
2944,225,252,701,174836,171607,167756,435,139,126,33,41,39,166,189,213,851,875,830,3915,4808,6009
2975,244,217,719,175698,172871,169214,443,165,121,37,35,43,156,166,209,837,866,784,3884,4812,6061
3006,224,236,678,177079,173941,170578,441,158,130,21,29,42,177,162,230,823,923,789,4014,4908,6144
3037,227,250,684,178065,175313,170928,462,152,124,39,29,31,167,147,221,854,899,825,3937,4948,6057
3068,234,232,678,178930,177349,172259,477,152,132,37,38,31,162,155,221,845,918,839,4041,4886,6230
3099,217,234,722,180505,177165,173700,496,144,132,26,30,38,147,179,219,863,913,790,3962,4953,6294
3130,226,242,718,180875,179251,174166,454,162,150,44,36,45,167,165,217,851,940,864,3922,4998,6184
3161,237,223,673,183109,179849,175730,505,167,130,43,46,46,168,163,198,864,889,802,4041,5068,6128
3192,232,219,696,184030,181321,176948,452,141,163,39,43,34,172,159,219,856,874,883,4039,5064,6352
3223,242,226,699,184417,181819,179166,477,166,120,41,42,36,162,179,225,854,919,854,4111,5153,6423
3254,223,231,705,185796,183573,178152,473,150,155,45,38,45,152,168,215,845,923,868,4066,5234,6297
3285,238,241,724,186907,184131,179845,486,153,170,38,45,37,173,163,231,839,901,851,4246,5025,6446
3316,242,248,746,187995,185062,180687,510,162,145,33,35,32,174,166,216,887,943,890,4077,5229,6433
3347,234,239,696,188571,186217,182392,465,172,114,39,36,35,158,166,232,867,949,906,4198,5243,6395
3378,223,223,715,190216,187486,182733,469,150,142,40,40,39,160,178,204,879,946,875,4117,5161,6445
3409,238,242,710,191347,187654,183337,484,153,131,39,33,45,158,179,238,856,915,916,4238,5251,6573
3440,217,258,744,191567,189049,185286,502,159,145,47,38,36,176,164,235,892,974,907,4282,5292,6688
3471,225,244,725,193313,189651,185193,523,141,155,41,34,57,184,165,230,903,963,877,4388,5294,6753
3502,239,230,746,194042,191342,186264,483,166,142,30,33,50,173,182,223,886,992,896,4315,5412,6665
3533,246,246,731,195204,192674,187448,505,162,151,36,48,37,170,184,224,909,968,904,4350,5455,6667
3564,251,215,752,195956,193061,188668,509,159,146,35,42,49,167,160,227,898,927,873,4382,5288,6827
3595,221,202,717,196438,193691,189220,496,170,152,35,38,37,166,177,244,916,950,910,4519,5508,6654
3626,236,221,763,197499,194915,190494,532,170,145,41,33,35,196,153,230,945,953,879,4394,5514,6821
3657,210,242,749,198813,196258,191207,525,177,168,42,41,37,176,186,263,966,1006,900,4455,5622,6760
3688,221,240,736,199827,196648,192233,524,170,150,37,38,54,177,187,236,880,989,947,4449,5614,6844
3719,230,244,754,200562,198337,193515,519,164,145,36,45,39,166,198,238,970,1023,940,4422,5526,6768
3750,251,213,752,201345,199039,193752,521,157,156,38,47,48,172,211,234,914,1032,924,4547,5656,6903
3781,242,238,718,202052,199753,194417,502,181,137,34,47,50,184,197,235,943,987,934,4602,5554,6931
3812,266,237,752,203282,200635,195900,509,174,150,45,43,34,175,195,257,899,1010,966,4523,5574,6887
3843,230,261,777,204163,201353,196443,535,172,166,32,40,41,189,175,248,953,976,915,4521,5608,7062
3874,270,227,758,204478,201686,197311,537,188,163,31,33,43,181,185,227,917,953,942,4636,5644,7040
3905,230,259,716,206194,202962,198707,539,200,145,42,45,45,162,158,272,973,1018,963,4608,5744,7084
3936,239,242,760,206787,203730,198877,470,177,134,33,37,42,181,167,231,1013,1005,959,4555,5625,7145
3967,214,257,788,207738,205005,199318,511,187,156,45,46,45,179,177,243,964,1009,924,4678,5828,7073
3998,237,223,746,208507,204684,200903,535,180,147,31,44,45,177,182,248,978,1036,953,4676,5838,7085
4029,237,217,781,209538,206502,201098,525,176,173,33,39,42,177,179,245,944,1027,938,4807,5783,7294
4060,240,247,776,210781,206860,201889,509,173,153,43,50,45,230,181,229,1001,1036,983,4682,5901,7103
4091,251,253,806,210626,208398,202655,531,171,150,35,43,45,183,191,242,942,1012,930,4824,5954,7290
4122,202,227,801,211215,208844,203582,560,187,162,47,45,41,181,181,250,1008,1033,997,4814,6004,7435
4153,238,235,825,213188,210268,205003,556,166,150,30,34,41,202,167,263,972,1040,924,4689,5813,7268
4184,242,235,777,213296,210788,204908,521,171,160,33,48,40,181,190,249,972,1025,990,4754,6088,7302
4215,253,230,813,214404,210826,205816,563,173,161,39,32,39,206,207,265,983,1027,995,4888,5956,7532
4246,227,242,776,215119,212354,206604,548,178,162,42,49,40,194,187,218,1005,1037,989,4850,6182,7506
4277,212,249,784,215588,212208,207116,536,189,181,41,47,48,210,193,237,1019,1040,933,4867,5888,7584
4308,233,230,811,216591,213208,208336,538,198,160,37,34,46,201,194,245,1044,1099,951,4902,5954,7459
4339,242,242,812,216196,213875,208365,557,187,166,41,43,41,190,181,255,1036,1044,1006,4869,6006,7556
4370,238,250,755,218084,214518,209272,487,175,170,40,45,48,161,195,234,1027,1087,1000,5038,6254,7641
4401,255,239,782,219011,215897,210355,524,186,153,36,38,35,194,206,227,1000,1093,1000,4964,6048,7580
4432,249,237,760,219527,216600,210376,591,182,145,32,37,44,191,200,263,1017,1067,1037,4910,6084,7626
4463,242,240,832,220850,216291,211111,562,180,179,43,39,35,194,197,228,1026,1065,1012,4857,6183,7660
4494,240,246,794,220773,217452,211061,534,190,181,31,37,42,195,189,242,1042,1104,963,5111,6156,7607
4525,246,237,756,221754,218938,212140,562,170,165,48,31,33,162,185,251,1032,1071,972,5050,6110,7785
4556,231,258,749,222060,218849,212160,557,198,167,40,46,39,196,179,253,993,1103,993,5029,6196,7728
4587,259,236,855,223009,219548,213836,579,186,170,32,45,48,194,200,250,1063,1091,1033,5118,6328,7876
4618,251,240,789,223389,220005,213236,564,187,190,40,41,42,191,196,280,1061,1104,999,5007,6260,7875
4649,226,273,806,224562,220465,214582,558,184,179,43,41,50,198,217,242,1072,1057,1008,5106,6270,7743
4680,261,229,809,224533,221708,215005,557,191,189,37,39,32,182,191,223,1021,1086,972,5036,6268,7816
4711,248,259,841,225450,221582,215839,589,195,168,51,44,40,198,172,255,1025,1070,983,5114,6285,7816
4742,240,234,845,225875,222279,216378,602,187,194,31,48,35,210,210,249,1061,1099,1004,5138,6307,7861
4773,266,276,839,226448,223045,217354,573,180,167,43,36,38,192,232,255,1031,1165,1038,5112,6379,7987
4804,234,257,838,227666,223450,217601,621,205,148,30,40,56,203,192,278,1050,1095,1034,5209,6376,8046
4835,244,249,796,228104,224894,217360,579,206,187,50,40,43,215,200,265,997,1080,1034,5199,6330,8083
4866,237,240,834,229161,224207,218691,610,210,163,38,43,57,194,207,255,1063,1119,987,5117,6372,8103
4897,243,264,808,229224,225681,219623,580,164,162,52,39,43,211,198,260,1086,1129,1025,5205,6465,8029
4928,232,238,813,230328,225056,219994,562,196,146,40,30,41,206,179,263,1069,1123,1037,5202,6493,8094
4959,259,246,840,230595,225818,219814,576,189,172,43,48,50,191,186,249,1101,1112,1112,5235,6518,8047
4990,263,246,851,231126,226826,220746,591,214,187,38,38,42,200,209,251,1088,1088,1076,5237,6481,8216
